City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,karratha,-20.7377,116.8463,20.56,64,19,4.9,AU,1685909755
123,antsiranana,-12.2787,49.2917,24.02,74,0,17.05,MG,1685909756
124,tura,25.5198,90.2201,25.64,45,0,3.74,IN,1685909756
125,tegueste,28.5167,-16.3167,19.99,72,20,8.05,ES,1685909756
126,el paso,31.8001,-106.2005,31.74,20,40,5.75,US,1685909731
127,dapa,9.7594,126.0531,27.72,77,100,5.91,PH,1685909757
128,palikir - national government center,6.9248,158.1611,27.85,75,97,5.7,FM,1685909757
129,tsiombe,-25.3,45.4833,21.56,76,100,3.65,MG,1685909757
130,chibougamau,49.9168,-74.3659,22.79,17,0,9.22,CA,1685909758
131,yeppoon,-23.1333,150.7333,17.88,81,0,17.18,AU,1685909758
132,puerto natales,-51.7236,-72.4875,5.25,65,75,2.3,CL,1685909758
133,sinop,41.7711,34.8709,14.34,99,100,3.85,TR,1685909758
134,kurchatov,51.6601,35.6521,9.23,67,68,4.05,RU,1685909759
135,utrik,11.2278,169.8474,26.93,82,100,18.88,MH,1685909759
136,kamaishi,39.2667,141.8833,13.86,82,5,5.99,JP,1685909759
137,coronel suarez,-37.4547,-61.9334,11.9,30,0,5.59,AR,1685909759
138,margaret river,-33.95,115.0667,13.22,74,94,20.78,AU,1685909760
139,kodiak,57.79,-152.4072,6.73,93,100,12.66,US,1685909760
140,murghob,38.1702,73.9667,5.4,36,97,3.47,TJ,1685909760
141,avarua,-21.2078,-159.775,22.47,68,28,10.29,CK,1685909760
142,badger,64.8,-147.5333,15.0,57,100,8.05,US,1685909761
143,bredy,52.4153,60.3411,20.84,55,13,10.65,RU,1685909761
144,sumbawa besar,-8.5,117.4333,22.16,95,99,4.09,ID,1685909761
145,kinkala,-4.3614,14.7644,21.25,94,21,4.34,CG,1685909762
146,talnakh,69.4865,88.3972,2.63,90,28,3.83,RU,1685909531
147,montepuez,-13.1256,38.9997,17.62,96,0,4.07,MZ,1685909690
148,lospalos,-8.5186,127.0025,20.42,88,100,4.99,TL,1685909763
149,khanty-mansiysk,61.0042,69.0019,19.06,77,0,0.0,RU,1685909763
150,ust'-kulom,61.6864,53.6902,7.05,89,1,5.37,RU,1685909764
151,arraial do cabo,-22.9661,-42.0278,22.92,73,0,8.05,BR,1685909764
152,arteche,12.2645,125.4048,25.88,87,95,2.1,PH,1685909764
153,qaqortoq,60.7167,-46.0333,1.22,99,100,3.76,GL,1685909765
154,taoudenni,22.6783,-3.9836,33.98,13,0,9.15,ML,1685909765
155,bredasdorp,-34.5322,20.0403,10.79,70,98,21.56,ZA,1685909766
156,acapulco de juarez,16.8634,-99.8901,31.9,58,0,6.91,MX,1685909766
157,riosucio,5.4216,-75.7032,22.86,67,95,2.77,CO,1685909699
158,mariental,-24.6333,17.9667,11.8,41,0,8.84,,1685909767
159,dunedin,-45.8742,170.5036,6.62,82,100,7.27,NZ,1685909767
160,gisborne,-38.6533,178.0042,10.34,84,94,2.35,NZ,1685909767
161,aral,40.5156,81.2636,22.52,18,69,8.32,CN,1685909768
162,bel ombre,-4.6167,55.4167,27.91,74,40,14.97,SC,1685909768
163,katsuura,35.1333,140.3,19.07,84,91,7.4,JP,1685909768
164,klyuchi,52.2667,79.1667,22.85,51,0,5.61,RU,1685909769
165,tokar,18.4254,37.729,32.29,52,2,4.23,SD,1685909769
166,san patricio,28.017,-97.5169,33.42,42,22,9.69,US,1685909769
167,lan sak,15.4529,99.5761,26.51,77,100,3.74,TH,1685909770
168,mogok,22.9167,96.5,18.45,88,12,2.91,MM,1685909770
169,nyurba,63.2842,118.3319,5.96,69,99,8.66,RU,1685909457
170,vorgashor,67.5833,63.95,14.31,70,100,10.85,RU,1685909770
171,aasiaat,68.7098,-52.8699,-0.82,73,11,9.08,GL,1685909771
172,iskateley,67.6803,53.1512,13.09,87,100,15.17,RU,1685909771
173,fale old settlement,-9.3852,-171.2468,28.51,74,55,13.94,TK,1685909772
174,stephenville,32.2207,-98.2023,29.41,61,75,0.0,US,1685909772
175,ust'-ilimsk,58.0006,102.6619,12.43,53,100,3.96,RU,1685909736
176,aroma,15.8167,36.1333,35.79,29,89,9.86,SD,1685909774
177,qui nhon,13.7667,109.2333,25.92,86,93,5.48,VN,1685909774
178,ubari,26.5921,12.7805,34.17,9,43,11.41,LY,1685909774
179,new norfolk,-42.7826,147.0587,2.06,87,93,3.06,AU,1685909775
180,egilsstadir,65.2653,-14.3948,14.95,47,75,18.41,IS,1685909775
181,longyearbyen,78.2186,15.6401,2.91,70,75,5.75,SJ,1685909775
182,anloga,5.7947,0.8973,27.55,81,100,16.51,GH,1685909775
183,quellon,-43.1167,-73.6167,10.14,76,100,12.66,CL,1685909776
184,launceston,-41.45,147.1667,6.86,96,100,4.61,AU,1685909776
185,dos palos,36.9861,-120.6266,34.13,18,0,7.09,US,1685909777
186,saint-philippe,-21.3585,55.7679,20.77,77,34,11.18,RE,1685909777
187,posto fiscal rolim de moura,-13.0833,-62.2667,30.25,56,76,0.98,BR,1685909777
188,lazaro cardenas,17.9583,-102.2,30.58,57,10,11.99,MX,1685909479
189,kitimat,54.0524,-128.6534,14.82,65,93,7.0,CA,1685909778
190,nova sintra,14.8667,-24.7167,20.48,81,15,5.23,CV,1685909779
